symbol_name,Precision,Description,ContractSize,MarginMode,security,MarginCurrency,ProfitCurrency,minVolFilter
XNGUSD,3,US Natural Gas (Spot) (XNGUSD),10000,1,CFD Gas Spot,XNG,USD,5
EURUSD,5,Euro vs US Dollar,100000,0,ECN FX Group1,EUR,USD,5
EURAUD,5,Euro vs Australian Dollar,100000,0,ECN FX Group2,EUR,AUD,5
USDCAD,5,USD Dollar vs Canadian Dollar,100000,0,ECN FX Group1,USD,CAD,5
USDCHF,5,US Dollar vs Swiss Franc,100000,0,ECN FX Group1,USD,CHF,5
EURCAD,5,Euro vs Canadian Dollar,100000,0,ECN FX Group2,EUR,CAD,5
CADJPY,3,Canadian Dollar vs Japanese Yen,100000,0,ECN FX Group2,CAD,JPY,5
EURJPY,3,Euro vs Japanese Yen,100000,0,ECN FX Group2,EUR,JPY,5
K,2,Kellogg Co. (K),1,1,US Stocks & ETFs,K,USD,100
XYL,2,Xylem Inc. (XYL),1,1,US Stocks & ETFs,XYL,USD,100
GBPJPY,3,Great Britain Pound vs Japanese Yen,100000,0,ECN FX Group2,GBP,JPY,5
USDSEK,5,US Dollar vs Swedish Krona,100000,0,ECN FX Group2,USD,SEK,5
USDNOK,5,US Dollar vs Norwegian Krone,100000,0,ECN FX Group2,USD,NOK,5
AUDUSD,5,Australian Dollar vs US Dollar,100000,0,ECN FX Group1,AUD,USD,5
CHFJPY,3,Swiss Franc vs Japanese Yen,100000,0,ECN FX Group2,CHF,JPY,5
GBPCHF,5,Great Britain Pound vs Swiss Franc,100000,0,ECN FX Group2,GBP,CHF,5
NZDUSD,5,New Zealand Dollar vs US Dollar,100000,0,ECN FX Group1,NZD,USD,5
AUDNZD,5,Australian Dollar vs New Zealand Dollar,100000,0,ECN FX Group2,AUD,NZD,5
EURCHF,5,Euro vs Swiss Franc,100000,0,ECN FX Group2,EUR,CHF,5
GBPUSD,5,Great Britain Pound vs US Dollar,100000,0,ECN FX Group1,GBP,USD,5
USDJPY,3,US Dollar vs Japanese Yen,100000,0,ECN FX Group1,USD,JPY,5
AUDJPY,3,Australian Dollar vs Japanese Yen,100000,0,ECN FX Group2,AUD,JPY,5
EURGBP,5,Euro vs Great Britain Pound,100000,0,ECN FX Group2,EUR,GBP,5
EURNOK,5,Euro vs Norwegian Krone,100000,0,ECN FX Group2,EUR,NOK,5
EURSEK,5,Euro vs Swedish Krona,100000,0,ECN FX Group2,EUR,SEK,5
AUDCHF,5,Australian Dollar vs Swiss Franc,100000,0,ECN FX Group2,AUD,CHF,5
CADCHF,5,Canadian Dollar vs Swiss Franc,100000,0,ECN FX Group2,CAD,CHF,5
GBPAUD,5,Great Britain Pound vs Australian Dollar,100000,0,ECN FX Group2,GBP,AUD,5
GBPCAD,5,Great Britain Pound vs Canadian Dollar,100000,0,ECN FX Group2,GBP,CAD,5
GBPNZD,5,Great Britain Pound vs New Zealand Dollar,100000,0,ECN FX Group2,GBP,NZD,5
NZDCAD,5,New Zealand Dollar vs Canadian Dollar,100000,0,ECN FX Group2,NZD,CAD,5
NZDCHF,5,New Zealand Dollar vs Swiss Franc,100000,0,ECN FX Group2,NZD,CHF,5
NZDJPY,3,New Zealand Dollar vs Japanese Yen,100000,0,ECN FX Group2,NZD,JPY,5
EURNZD,5,Euro vs New Zealand Dollar,100000,0,ECN FX Group2,EUR,NZD,5
AUDCAD,5,Australian Dollar vs Canadian Dollar,100000,0,ECN FX Group2,AUD,CAD,5
GBPSGD,5,Great Britain Pound vs Singapore Dollar,100000,0,ECN FX Group2,GBP,SGD,5
NZDSGD,5,New Zealand Dollar vs Singapore Dollar,100000,0,ECN FX Group2,NZD,SGD,5
SGDJPY,3,Singapore Dollar vs Japanese Yen,100000,0,ECN FX Group2,SGD,JPY,5
USDRUB,4,US Dollar vs Russian Ruble,100000,0,ECN FX Group2,USD,RUB,5
EURDKK,5,Euro vs Danish Krone,100000,0,ECN FX Group2,EUR,DKK,5
EURHKD,5,Euro vs Hong Kong Dollar,100000,0,ECN FX Group2,EUR,HKD,5
EURPLN,5,Euro vs Polish Zloty,100000,0,ECN FX Group2,EUR,PLN,5
EURTRY,5,Euro vs Turkish Lira,100000,0,ECN FX Group2,EUR,TRY,5
HKDJPY,3,Hong Kong Dollar vs Japanese Yen,100000,0,ECN FX Group2,HKD,JPY,5
NOKJPY,3,Norwegian Krone vs Japanese Yen,100000,0,ECN FX Group2,NOK,JPY,5
NOKSEK,5,Norwegian Krone vs Swedish Krone,100000,0,ECN FX Group2,NOK,SEK,5
USDDKK,5,US Dollar vs Danish Krone,100000,0,ECN FX Group2,USD,DKK,5
USDHKD,5,US Dollar vs Hong Kong Dollar,100000,0,ECN FX Group2,USD,HKD,5
USDMXN,5,US Dollar vs Mexican Peso,100000,0,ECN FX Group2,USD,MXN,5
USDPLN,5,US Dollar vs Polish Zloty,100000,0,ECN FX Group2,USD,PLN,5
USDSGD,5,US Dollar vs Singapore Dollar,100000,0,ECN FX Group2,USD,SGD,5
USDTRY,5,US Dollar vs Turkish Lira,100000,0,ECN FX Group2,USD,TRY,5
USDCNH,4,US Dollar vs Chinese Offshore Yuan,100000,0,ECN FX Group2,USD,CNH,5
#UK100,1,FTSE 100 Index (UKX),10,1,CFD Index 1,UKX,GBP,5
#GDAXIm,1,DAX 40 Index (GDAXI),10,1,CFD Index 1,DA1,EUR,5
#FCHI,1,CAC 40 Index (FCHI),10,1,CFD Index 1,CAC,EUR,5
#J225,0,Nikkei 225 Index (N225),1000,1,CFD Index 1,NKY,JPY,5
XAUUSD,2,Gold Spot (XAUUSD),100,4,ECN Metals,XAU,USD,2
XAGUSD,3,Silver Spot (XAGUSD),5000,4,ECN Metals,XAG,USD,5
#ESX50,1,Eurostoxx 50 Index (SX5E),10,1,CFD Index 1,ESX,EUR,5
XBRUSD,2,UK Brent (Spot) (XBRUSD),1000,1,CFD Oil Spot,XBR,USD,5
XTIUSD,2,US WTI Crude (Spot) (XTIUSD),1000,1,CFD Oil Spot,XTI,USD,5
ADAUSD,4,Cardano (ADA) vs US Dollar,1,1,CFD Crypto,ADA,USD,10000
ATOMUSD,4,Cosmos (ATOM) vs US Dollar,1,1,CFD Crypto,ATOM,USD,1000
MBTUSD,3,milliBitCoin vs US Dollar (MBTUSD),1,0,Crypto Indicative,MBT,USD,5
GLDUSD,5,GLD vs US Dollar,100,0,Forex Indicative,GLD,USD,5
AVAXUSD,2,Avalanche (AVA) vs US Dollar,1,1,CFD Crypto,AVAX,USD,500
BCHUSD,3,Bitcoin Cash vs US Dollar (BCHUSD),1,1,CFD Crypto,BCH,USD,20
BTCUSD,3,BitCoin vs US Dollar (BTCUSD),1,1,CFD Crypto Bitcoin,BTC,USD,1
DOGEUSD,5,Dogecoin (DOGE) vs US Dollar,1,1,CFD Crypto,DOGE,USD,10000
USDBRL,3,US Dollar to Brazilian Real,100000,0,Rates,USD,BRL,5
USDIDR,3,US Dollar to Indonesian Rupiah,100000,0,Rates,USD,IDR,5
USDINR,3,US Dollar to Indian Rupee,100000,0,Rates,USD,INR,5
USDKRW,3,US Dollar to South Korean Won,100000,0,Rates,USD,KRW,5
USDPHP,3,US Dollar to Philippine Peso,100000,0,Rates,USD,PHP,5
USDTWD,3,US Dollar to Taiwan New Dollar,100000,0,Rates,USD,TWD,5
DOTUSD,4,Polkadot (DOT) vs US Dollar,1,1,CFD Crypto,DOT,USD,1000
USDTHB,3,US Dollar to Thailand Baht,100000,0,Rates,USD,THB,5
DSHUSD,3,DASH vs US Dollar (DSHUSD),1,1,CFD Crypto,DSH,USD,500
TSLA,2,Tesla Inc. (TSLA),1,1,US Stocks & ETFs,TSLA,USD,100
AAPL,2,Apple Inc. (AAPL),1,1,US Stocks & ETFs,AAPL,USD,100
BABA,2,Alibaba Group Holding Limited (BABA),1,1,US Stocks & ETFs,BABA,USD,100
META,2,Meta Platforms Inc. Class A (META),1,1,US Stocks & ETFs,FB,USD,100
GOOGL,2,Alphabet Inc. Class A (GOOGL),1,1,US Stocks & ETFs,GOOGL,USD,100
IBKR,2,Interactive Brokers Group Inc. (IBKR),1,1,US Stocks & ETFs,IBKR,USD,100
MSFT,2,Microsoft Corporation (MSFT),1,1,US Stocks & ETFs,MSFT,USD,100
AMZN,2,Amazon.com Inc. (AMZN),1,1,US Stocks & ETFs,AMZN,USD,100
NFLX,2,Netflix Inc. (NFLX),1,1,US Stocks & ETFs,NFLX,USD,100
